1.01,3,{'TP': 49, 'FP': 2535, 'FN': 241},0.16896551724137931,0.018962848297213623,0.03409881697981907
1.01,5,{'TP': 48, 'FP': 1968, 'FN': 242},0.16551724137931034,0.023809523809523808,0.04163052905464007
1.01,7,{'TP': 47, 'FP': 1663, 'FN': 243},0.16206896551724137,0.027485380116959064,0.047
1.01,10,{'TP': 46, 'FP': 1370, 'FN': 244},0.15862068965517243,0.03248587570621469,0.053927315357561546
1.01,15,{'TP': 42, 'FP': 1042, 'FN': 248},0.14482758620689656,0.03874538745387454,0.061135371179039305
1.01,20,{'TP': 38, 'FP': 888, 'FN': 252},0.1310344827586207,0.04103671706263499,0.0625
1.03,3,{'TP': 51, 'FP': 1531, 'FN': 239},0.17586206896551723,0.032237673830594185,0.05448717948717948
1.03,5,{'TP': 46, 'FP': 1126, 'FN': 244},0.15862068965517243,0.03924914675767918,0.06292749658002737
1.03,7,{'TP': 45, 'FP': 909, 'FN': 245},0.15517241379310345,0.04716981132075472,0.07234726688102894
1.03,10,{'TP': 42, 'FP': 716, 'FN': 248},0.14482758620689656,0.055408970976253295,0.08015267175572519
1.03,15,{'TP': 36, 'FP': 518, 'FN': 254},0.12413793103448276,0.06498194945848375,0.08530805687203791
1.03,20,{'TP': 30, 'FP': 396, 'FN': 260},0.10344827586206896,0.07042253521126761,0.08379888268156425
1.05,3,{'TP': 41, 'FP': 1124, 'FN': 249},0.1413793103448276,0.0351931330472103,0.0563573883161512
1.05,5,{'TP': 39, 'FP': 821, 'FN': 251},0.13448275862068965,0.04534883720930233,0.06782608695652173
1.05,7,{'TP': 36, 'FP': 623, 'FN': 254},0.12413793103448276,0.054628224582701064,0.07586933614330875
1.05,10,{'TP': 29, 'FP': 462, 'FN': 261},0.1,0.059063136456211814,0.07426376440460948
1.05,15,{'TP': 21, 'FP': 307, 'FN': 269},0.07241379310344828,0.06402439024390244,0.0679611650485437
1.05,20,{'TP': 17, 'FP': 237, 'FN': 273},0.05862068965517241,0.06692913385826772,0.0625
